Udo Kier,"Udo Kier (born Udo Kierspe; 14 October 1944) is a German actor and voice actor. Known primarily as a character actor, Kier has appeared in over 200 films in both leading and supporting roles throughout Europe and North America. He has collaborated with acclaimed filmmakers like Lars von Trier, Gus van Sant, Werner Herzog, Walerian Borowczyk, Kleber Mendonça Filho, Dario Argento, Charles Matton, and Paul Morrissey."
Ursula Buchfellner,Ursula Buchfellner (born 8 June 1961) is a German model and actress.  She was Playboy magazine's Playmate of the Month for its October 1979 issue. Her centerfold was photographed by Peter Weissbrich.
Al Cliver,"Pierluigi Conti (better known as Al Cliver) (born 16 July 1951) is an Italian actor who is perhaps best known for starring in horror and exploitation films, especially ones by directors Lucio Fulci and Jesús Franco."
Rubén Blades,"Rubén Blades Bellido de Luna (born July 16, 1948), known professionally as Rubén Blades (Spanish: [ruˈβem ˈblaðes], but [- ˈbleðz] in Panama and within the family), is a Panamanian musician, singer, composer, actor, activist, and politician, performing musically most often in the salsa, and Latin jazz genres. As a songwriter, Blades brought the lyrical sophistication of Central American nueva canción and Cuban nueva trova as well as experimental tempos and politically inspired Son Cubano salsa to his music, creating ""thinking persons' (salsa) dance music"". Blades has written dozens of hit songs, including ""Pedro Navaja"" and ""El Cantante"" (which became Héctor Lavoe's signature song). He has won nine Grammy Awards out of seventeen nominations and five Latin Grammy Awards."
Françoise Robertson,"Françoise Robertson is a Canadian actress, known to US audiences for her portrayal of D'orothea Wilson in the TV miniseries More Tales of the City (1998) and its follow-up Further Tales of the City (2001). These miniseries were sequels to Tales of the City (1994), which starred Cynda Williams in the role of D'orothea."
Nick Mancuso,"Nicodemo Antonio Massimo Mancuso (born May 29, 1948) is an Italian-Canadian actor, artist, playwright, and director. Beginning his career as a stage actor, he had his breakthrough role in the 1981 drama Ticket to Heaven, for which he won the Genie Award for Best Performance by a Leading Actor. He has over 155 film and television credits, including a starring role on the NBC series Stingray (1985–87) and as antichrist Franco Macalousso in the Apocalypse film series."
Roger Casamajor,"Roger Casamajor (born 17 December 1976 in La Seu d'Urgell) is a Spanish television, theater and film actor."
Goldie Hawn,"Goldie Jeanne Hawn (born November 21, 1945) is an American actress, producer, dancer, and singer. She rose to fame on the NBC sketch comedy program Rowan & Martin's Laugh-In (1968–70), before going on to receive the Academy Award and Golden Globe Award for Best Supporting Actress for her performance in Cactus Flower (1969)."
Chris Sarandon,"Chris Sarandon Jr. (/səˈrændən/; born July 24, 1942) is an American actor. He is best known for playing Jerry Dandrige in Fright Night (1985), Prince Humperdinck in The Princess Bride (1987), Detective Mike Norris in Child's Play (1988), and for providing the speaking voice of Jack Skellington in The Nightmare Before Christmas (1993). He was nominated for an Academy Award for Best Supporting Actor for his performance as Leon Shermer in Dog Day Afternoon (1975)."
Richard Romanus,"Richard Romanus (born Richard Joseph Romanos; February 8, 1943) is an American actor. Among other roles, he has appeared in Martin Scorsese's Mean Streets and provided voices for Ralph Bakshi's animated films Wizards and Hey Good Lookin'. He played Richard La Penna, Jennifer Melfi's ex-husband, later husband again, in four episodes of The Sopranos from 1999 to 2002. In 1999, he co-wrote the Christmas film If You Believe along with his wife Anthea Sylbert, which was nominated for a Best Original Screenplay award by the Writers Guild of America.[not verified in body]"
Walter Matthau,"Walter Matthau (/ˈmæθaʊ/; born Walter John Matthow; October 1, 1920 – July 1, 2000) was an American actor."
George Burns,"George Burns (born Nathan Birnbaum; Yiddish: נתן בירנבוים‎; January 20, 1896 – March 9, 1996) was an American comedian, actor, singer, and writer. He was one of the few entertainers whose career successfully spanned vaudeville, radio, film, and television. His arched eyebrow and cigar-smoke punctuation became familiar trademarks for over three-quarters of a century. He and his wife, Gracie Allen, appeared on radio, television, and film as the comedy duo Burns and Allen."
Richard Benjamin,"Richard Samuel Benjamin (born May 22, 1938) is an American actor and film director."
Cora Green,"Cora Green (December 10, 1895 – died after 1949) was an American actress, singer, and dancer, billed as ""The Famous Creole Singer""."
Robert Duvall,"Robert Selden Duvall (/duːˈvɔːl/; born January 5, 1931) is an American actor and filmmaker whose career spans more than six decades. He has been nominated for seven Academy Awards (winning for his performance in Tender Mercies) and seven Golden Globe Awards (winning four), and has won a BAFTA, a Screen Actors Guild Award, and an Emmy Award. He received the National Medal of Arts in 2005."
Lukas Haas,"Lukas Daniel Haas (born April 16, 1976) is an American actor and musician. His acting career has spanned four decades, during which he has appeared in more than 50 feature films and a number of television shows and stage productions."
James Earl Jones,"James Earl Jones (born January 17, 1931) is an American actor. His career spans more than seven decades and he has been described as ""one of America's most distinguished and versatile"" actors known for his performance in film, theater and television, and ""one of the greatest actors in American history""."
Cloris Leachman,"Cloris Leachman (born April 30, 1926) is an American actress and comedian, whose career spans over seven decades. She has won various accolades, including eight Primetime Emmy Awards from 22 nominations, making her the most nominated and, along with Julia Louis-Dreyfus, most awarded actress in Emmy history. In addition, she has won an Academy Award, a British Academy Film Award, a Golden Globe Award, and a Daytime Emmy Award."
Mercedes Ruehl,"Mercedes J. Ruehl (/ruːl/; born February 28, 1948) is an American screen and stage actor. She is the recipient of several accolades, including an Academy Award, a Golden Globe Award, a Tony Award, a Drama Desk Award, two Obie Awards, and two Outer Critics Circle Awards."
Dinah Manoff,"Dinah Beth Manoff (born January 25, 1956) is an American stage, film, and television actress and television director. She is best known for her roles as Elaine Lefkowitz on Soap, Marty Maraschino in the film Grease, Libby Tucker in both the stage and film adaptations of I Ought to Be in Pictures, for which she won a Tony Award, and Carol Weston on Empty Nest. She has starred in numerous television movies and guest-starred on various television programs. She mostly appeared on TV during the 1990s, but she has been seen in more recent theatrical films, such as The Amati Girls and Bart Got a Room, and a co-starring role on State of Grace.[citation needed]"
Heath Ledger,"Heath Andrew Ledger[a] (4 April 1979 – 22 January 2008) was an Australian actor, photographer, and music video director. After playing roles in several Australian television and film productions during the 1990s, Ledger moved to the United States in 1998 to further develop his film career. His work consisted of nineteen films, including 10 Things I Hate About You (1999), The Patriot (2000), A Knight's Tale (2001), Monster's Ball (2001), Lords of Dogtown (2005), Brokeback Mountain (2005), Candy (2006), The Dark Knight (2008), and The Imaginarium of Doctor Parnassus (2009), the latter two being posthumous releases. He also produced and directed music videos and aspired to be a film director."
Orlando Bloom,"Orlando Jonathan Blanchard Copeland Bloom (born 13 January 1977) is an English actor. He made his breakthrough as the character Legolas in The Lord of the Rings film series, a role he reprised in The Hobbit film series. He gained further acclaim by appearing in epic fantasy, historical, and adventure films, notably as Will Turner in the Pirates of the Caribbean film series."
Geoffrey Rush,"Geoffrey Roy Rush AC (born 6 July 1951) is an Australian actor. He is amongst 24 people who have won the Triple Crown of Acting: an Academy Award for film, a Primetime Emmy Award for television, and a Tony Award for theatre."
David Suchet,"Sir David Courtney Suchet, CBE (/ˈsuːʃeɪ/ SOO-shay; born 2 May 1946) is an English actor, known for his work on British stage and television. He played Edward Teller in the TV serial Oppenheimer (1980) and received the RTS and BPG awards for his performance as Augustus Melmotte in the British serial The Way We Live Now (2001). International acclaim and recognition followed his performance as Agatha Christie's detective Hercule Poirot in Agatha Christie's Poirot (1989–2013), for which he received a 1991 British Academy of Film and Television Arts (BAFTA) nomination."
Pauline Moran,"Pauline Moran (born 26 August[citation needed] 1947) is an English actress, presenter, and astrologer, best known for her role as Miss Lemon in the British television series Agatha Christie's Poirot."
Dedee Pfeiffer,"Dorothy Diane ""Dedee"" Pfeiffer (born January 1, 1964) is an American film and television actress."
Tegan Moss,"Tegan Moss (born February 7, 1985) is a Canadian actress appearing in film and television. She has been nominated for a Young Artist Award."
Mitzi Kapture,"Mitzi Kapture (born as Mitzi Gaynor Donahue on May 2, 1962) is an American actress, known for her role as Sgt. Rita Lee Lance in the CBS/USA Network crime drama series Silk Stalkings from 1991 to 1995."
Jan-Michael Vincent,"Jan-Michael Vincent (July 15, 1944 – February 10, 2019) was an American actor. He was best known for having played helicopter pilot Stringfellow Hawke on the television series Airwolf (1984–1987) and the protagonist, Matt Johnson, in the 1978 film Big Wednesday. He also starred as Byron Henry in The Winds of War."
Cybill Shepherd,"Cybill Lynne Shepherd (born February 18, 1950) is an American actress and former model. Shepherd's better-known roles include Jacy in Peter Bogdanovich's The Last Picture Show (1971), Kelly in Elaine May's The Heartbreak Kid (1972), Betsy in Martin Scorsese's Taxi Driver (1976), and Nancy in Woody Allen's Alice (1990). She was also known for her roles in television, such as Maddie Hayes on Moonlighting (1985–1989), Cybill Sheridan on Cybill (1995–1998), Phyllis Kroll on The L Word (2007–2009), Madeleine Spencer on Psych (2008–2013), Cassie in the television film The Client List (2010), and Linette Montgomery on The Client List (2012–2013)."
Martin Landau,"Martin James Landau (/ˈlændaʊ/; June 20, 1928 – July 15, 2017) was an American actor, acting coach, producer, and editorial cartoonist. His career began in the 1950s, with early film appearances including a supporting role in Alfred Hitchcock's North by Northwest (1959) opposite Cary Grant. He played regular roles in the television series Mission: Impossible (1966-1969) and Space: 1999 (1975-1977)."
Erin Cottrell,"Erin Cottrell (born August 24, 1975) is an American actress who has appeared in the role of Missie LaHaye in five of the eight films in the Love Comes Softly series. She was born in Yardley, Pennsylvania."
Dale Midkiff,"Dale Alan Midkiff (born July 1, 1959) is an American actor, best known for playing Louis Creed in the horror film Pet Sematary (1989) and Captain Darien Lambert in the TV series Time Trax."
Logan Bartholomew,"John Logan Bartholomew (born February 9, 1984) is an American actor born in Galion, Ohio,  best known for his role of Willie LaHaye in 3 of the 8 films in the Love Comes Softly series. He later appeared in series like CSI: Miami (2005) and Close to Home (2007). He also had a small appearance in the thirty-sixth episode of popular TV series Ghost Whisperer, as Ray Peters in the second-season episode, ""Speed Demon"" (2007). In 2010 he played a troubled hockey player in The Genesis Code. In 2013, he took over the role of Jason Stevens from Drew Fuller, in the sequel to 2007's The Ultimate Gift, The Ultimate Life."
Audrey Hepburn,"Audrey Hepburn (born Audrey Kathleen Ruston; 4 May 1929 – 20 January 1993) was a British[a] actress and humanitarian. Recognised as a film and fashion icon, she was ranked by the American Film Institute as the third-greatest female screen legend in Golden Age Hollywood, and was inducted into the International Best Dressed List Hall of Fame."
Ben Gazzara,"Biagio Anthony Gazzarra (August 28, 1930 – February 3, 2012), known as Ben Gazzara, was an American film, stage, and television actor and director. His best-known films include Anatomy of a Murder (1959), The Bridge at Remagen (1969), Voyage of the Damned (1976), Inchon (1981), Road House (1989), The Big Lebowski (1998), Buffalo '66 (1998), Happiness (1998), The Thomas Crown Affair (1999), Summer of Sam (1999), Dogville (2003) and Paris, je t'aime (2006). He was a recurring collaborator with John Cassavetes, working with him on Husbands (1970), The Killing of a Chinese Bookie (1976) and Opening Night (1977)."
Patti Hansen,"Patricia Hansen (born March 17, 1956) is an American model and actress."
Rachel York,"Rachel York (born August 7, 1971) is an American actress and singer. She is known for stage roles in City of Angels, The Scarlet Pimpernel, Les Misérables, Victor/Victoria, Kiss Me, Kate, Sly Fox, Dirty Rotten Scoundrels and Anything Goes. She also has many film and television credits, including her portrayal of Lucille Ball in the CBS biographical film Lucy."
Danny Pino,"Daniel Gonzalo Pino (born April 15, 1974) is an American actor who starred as Detective Scotty Valens on the CBS series Cold Case from 2003 to 2010, and as NYPD Detective Nick Amaro in the long-running NBC legal drama Law & Order: Special Victims Unit from 2011 to 2015. In 2002, he appeared in London's West End in Up for Grabs with Madonna. In May 2003, Pino played Desi Arnaz in a CBS special on the life of Lucille Ball, Lucy. He is currently playing drug cartel leader Miguel Galindo on Mayans M.C. (a Sons of Anarchy spinoff) airing on FX, and FBI agent John Bishop in procedural crime drama Gone."
Ann Dowd,"Ann Dowd (born January 30, 1956) is an American actress. She has played supporting roles in several films, including  Green Card (1990), Lorenzo's Oil (1992), Philadelphia (1993), Garden State (2004), The Manchurian Candidate (2004), Marley & Me (2008), Side Effects (2013), St. Vincent (2014), Captain Fantastic (2016), and Hereditary (2018). Dowd appeared as Sandra in the thriller film Compliance (2012), for which she received the National Board of Review Award for Best Supporting Actress."
Tobias Schneebaum,"Tobias Schneebaum (March 25, 1922 – September 20, 2005) was an American artist, anthropologist, and AIDS activist. He is best known for his experiences living and traveling among the Harakmbut people of Peru, and the Asmat people of Papua, Western New Guinea, Indonesia, then known as Irian Jaya."
Norman Mailer,"Norman Kingsley Mailer (January 31, 1923 – November 10, 2007) was an American novelist, journalist, essayist, playwright, activist, film-maker and actor. In a career spanning over six decades, Mailer had 11 best-selling books, at least one in each of the seven decades after World War II—more than any other post-war American writer."
Denise Richards,"Denise Richards (born February 17, 1971) is an American actress, former fashion model, and television personality. Her most recognized roles are Carmen Ibanez in Starship Troopers (1997), Kelly Van Ryan in Wild Things (1998) and Bond girl Christmas Jones in The World Is Not Enough (1999). She has also appeared in films Drop Dead Gorgeous (1999), Valentine (2001), Undercover Brother (2002), Scary Movie 3 (2003), Love Actually (2003), and Madea's Witness Protection (2012)."
David Boreanaz,"David Paul Boreanaz (/bɔːriˈɑːnəs/; born May 16, 1969) is an American actor, television producer, and director, known for playing the roles of vampire-turned-private investigator Angel on Buffy the Vampire Slayer (1997–2003) and its spinoff Angel (1999–2004); FBI Special Agent Seeley Booth on the television crime procedural comedy-drama series Bones (2005–2017); and Jason Hayes in the military drama series SEAL Team (2017–present)."
Marley Shelton,"Marley Eve Shelton (born April 12, 1974) is an American actress. She is best known for her roles as  Wendy Preffercorn in the coming-of-age comedy The Sandlot (1993), the Customer in the neo-noir Sin City (2005) and Dr. Dakota Block in the double-feature thriller Grindhouse (2007). Her other notable films include Pleasantville (1998), Never Been Kissed (1999), Sugar & Spice (2001), Valentine (2001), Scream 4 (2011) and Rampage (2018)."
George Anton,"George Anton (born ca. 1550), of Lincoln was an English politician."
Stephanie Beacham,"Stephanie Beacham (28 February 1947) is an English television, radio, film and theatre actress. She is known for her television roles in the BBC drama Tenko (1981–1982), the ITV drama Connie (1985), and for playing Sable Colby in the ABC soap operas The Colbys (1985–1987) and Dynasty (1985, 1988–1989). Her film appearances include Dracula A.D. 1972 (1972), Schizo (1976) and Troop Beverly Hills (1989)."
Danny Glover,"Daniel Lebern Glover (/ˈɡlʌvər/; born July 22, 1946) is an American actor, film director, and political activist. He is widely known for his lead role as Roger Murtaugh in the Lethal Weapon film series. He also has leading roles in the films The Color Purple (1985), To Sleep with Anger (1990), Predator 2 (1990), Angels in the Outfield (1994) and Operation Dumbo Drop (1995). Glover has prominent supporting roles in Silverado (1985), Witness (1985), Saw (2004), Shooter (2007), 2012 (2009), Death at a Funeral (2010), Beyond the Lights (2014), Dirty Grandpa (2016), Sorry to Bother You (2018), and Jumanji: The Next Level (2019). He is an active supporter of various political causes."
Whoopi Goldberg,"Caryn Elaine Johnson (born November 13, 1955), known professionally as Whoopi Goldberg (/ˈwʊpi/), is an American actor, comedian, author, and television personality. A recipient of numerous accolades, Goldberg is one of sixteen entertainers to have won an Emmy Award, a Grammy Award, an Academy Award, and a Tony Award."
Oprah Winfrey,"Oprah Gail Winfrey (born  Orpah Gail Winfrey; January 29, 1954) is an American talk show host, television producer, actress, author, and philanthropist. She is best known for her talk show, The Oprah Winfrey Show, broadcast from Chicago, which was the highest-rated television program of its kind in history and ran in national syndication for 25 years from 1986 to 2011. Dubbed the ""Queen of All Media"", she was the richest African American of the 20th century and North America's first black multi-billionaire, and she has been ranked the greatest black philanthropist in American history.[10] By 2007, she was sometimes ranked as the most influential woman in the world.[11][12]"
Ekin Cheng,"Ekin Cheng (born 4 October 1967) is a Hong Kong actor and singer. Early in his career, he used the name  Dior as a first name (because that was what it sounded like when his younger sister tried to call him 二哥 in Cantonese). He has also been referred to as Noodle Cheng, (鄭伊麵) after a popular noodle dish with a similar name and his wavy long hair. Currently Ekin is the name used."
Louis Koo,"Louis Koo Tin-lok (古天樂; born 21 October 1970) is a Hong Kong actor and film producer. He began his professional career as an actor in local television series, winning TVB's Best Actor award in 1999 and 2001. After 2001, he fully focused on film career and became one of the stalwarts of the Hong Kong film industry. In 2018, Koo was awarded the Hong Kong Film Award for Best Actor, Asian Film Award for Best Actor and the Hong Kong Film Directors' Guild Award for Best Actor for his performance in the 2017 film, Paradox. Koo founded ""One Cool Group Limited"" in 2013. As of 2018, One Cool Group has produced 20 films. He was the ambassador of Hong Kong International Film Festival from 2014 to 2018."
Ziyi Zhang,"Zhang Ziyi ([ʈʂáŋ tsɨ̀.ǐ]; Chinese: 章子怡; born 9 February 1979) is a Chinese actress and model. Her first major role was in The Road Home (1999). She later gained international recognition for her role in Ang Lee's Crouching Tiger, Hidden Dragon (2000), which was nominated for 10 Academy Awards. Zhang has also appeared in Rush Hour 2 (2001), Hero (2002), and House of Flying Daggers (2004). Her most critically acclaimed works are Memoirs of a Geisha (2005), which earned her nominations for the Golden Globe Award for Best Actress – Motion Picture Drama, the BAFTA Award for Best Actress in a Leading Role, and the Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Leading Role; and The Grandmaster (2013), for which she won 12 different Best Actress awards to become the most awarded Chinese actress for a single film."
Susan Sarandon,"Susan Abigail Sarandon (née Tomalin; born October 4, 1946) is an American actress and activist. She has received an Academy Award, a British Academy Film Award, and a Screen Actors Guild Award, and has been nominated for nine Golden Globe Awards. Known for her social and political activism, Sarandon was appointed a UNICEF Goodwill Ambassador in 1999 and received the Action Against Hunger Humanitarian Award in 2006."
Aidan Devine,"Aidan Devine is an English Canadian film actor. He was born in the United Kingdom and immigrated with his family to Canada at the age of 15.  He studied at Dawson College's Dome Theatre in Montreal, Quebec and began his acting career in Montreal.   He would later relocate to Toronto, Ontario.   His 1993 breakout role came in Denys Arcand's, Love and Human Remains.  Since then he has worked steadily in Canadian and American television and cinema capturing two Gemini Awards; a best actor award in 1997 for his performance as Ted Lindsay in Net Worth and in 1998, a best supporting actor Gemini for his performance as airframe engineer, Jim Chamberlin in The Arrow.  He has been nominated three other times."
Jean Arthur,"Jean Arthur (born Gladys Georgianna Greene; October 17, 1900 – June 19, 1991) was an American Broadway and film actress whose career began in silent films in the 1920s and lasted until the early 1950s."
Pat Boone,"Patrick Charles Eugene Boone (born June 1, 1934) is an American singer, composer, actor, writer, television personality, motivational speaker, and spokesman. He was a successful pop singer in the United States during the 1950s and early 1960s. He sold more than 45 million records, had 38 Top 40 hits, and appeared in more than 12 Hollywood films."
Shirley Jones,"Shirley Mae Jones (born March 31, 1934) is an American actress and singer. In her six decades in show business, she has starred as wholesome characters in a number of musical films, such as Oklahoma! (1955), Carousel (1956), and The Music Man (1962). She won the Academy Award for Best Supporting Actress for playing a vengeful prostitute in Elmer Gantry (1960). She played the lead role of Shirley Partridge, the widowed mother of five children, in the musical situation-comedy television series The Partridge Family (1970–1974), which co-starred her real-life stepson, David Cassidy, son of Jack Cassidy."
Dolores Michaels,"Dolores Rae Michaels (January 30, 1933 – September 25, 2001) was an American actress."
Jim Belushi,"James Adam Belushi (/bəˈluːʃi/; born June 15, 1954) is an American actor, comedian, singer and musician. He played the role of Jim on the sitcom According to Jim (2001–2009). His other television roles include Saturday Night Live (1983–1985), Wild Palms (1993), Aaahh!!! Real Monsters (1994–1997), Show Me a Hero (2015) and Twin Peaks (2017)."
Lorraine Bracco,"Lorraine Bracco (Italian: [ˈbrakko]; born October 2, 1954) is an American film and television actress. Known for her distinct husky voice and Brooklyn accent, she has been nominated for an Academy Award, four Emmy Awards, four Golden Globe Awards, and three Screen Actors Guild Awards."
Tony Goldwyn,"Anthony Howard Goldwyn (born May 20, 1960) is an American actor, singer, producer, director, and political activist. He portrayed Carl Bruner in Ghost (1990), Harold Nixon in Nixon (1995), Colonel Bagley in The Last Samurai, and voiced the title character in the Disney animated film Tarzan (1999). He starred in the ABC legal/political drama Scandal as Fitzgerald Grant III, a fictional president of the United States, from 2012 to 2018."
John Turturro,"John Michael Turturro (/tərˈtʊəroʊ/; born February 28, 1957) is an American actor, writer, producer and director, known for his association with the independent film movement. He has appeared in over sixty feature films and has worked frequently with the Coen brothers, Adam Sandler and Spike Lee. He began his acting career on-screen in the early 1980s, and received early critical recognition with the independent film Five Corners (1987). Turturro's mainstream breakthrough came with Lee's Do the Right Thing (1989) and the Coens' Miller's Crossing (1990) and Barton Fink (1991), for which he won the Best Actor Award at the Cannes Film Festival. His subsequent roles included Herb Stempel in Quiz Show (1994), Jesus Quintana in The Big Lebowski (1998) and The Jesus Rolls (2020), Pete Hogwallop in O Brother, Where Art Thou? (2000), Seymour Simmons in the Transformers film series and is set to play Carmine Falcone in The Batman. In 2016, in a lead role, he portrayed a lawyer in the HBO miniseries The Night Of and had a recurring role in the miniseries The Plot Against America in 2020."
Emily Watson,"Emily Margaret Watson OBE (born 14 January 1967) is an English actress. She began her career on stage and joined the Royal Shakespeare Company in 1992. In 2002, she starred in productions of Twelfth Night and Uncle Vanya at the Donmar Warehouse, and was nominated for the 2003 Olivier Award for Best Actress for the latter."
Geraldine James,"Geraldine James, OBE (born 6 July 1950) is an English film and television actress."
Scott Bakula,"Scott Stewart Bakula (/ˈbækjʊlə/; born October 9, 1954) is an American actor, singer and director. He is known for his roles in two science-fiction television series: as Sam Beckett on Quantum Leap, and as Captain Jonathan Archer on Star Trek: Enterprise. For Quantum Leap, he received four Emmy Award nominations and a Golden Globe Award."
John Billingsley,"John Billingsley (/ˈbɪlɪŋɡzli/, born May 20, 1960) is an American actor known for his role as Doctor Phlox on the television series Star Trek: Enterprise."
Jolene Blalock,"Jolene Blalock (born March 5, 1975) is an American actress and model. She is best known for playing the Vulcan first officer and science officer T'Pol on the UPN science-fiction series Star Trek: Enterprise. Her range of work includes guest-star spots on television series and films."
David Niven,"James David Graham Niven (/ˈnɪvən/; 1 March 1910 – 29 July 1983) was an English actor, memoirist and novelist. His many roles included Squadron Leader Peter Carter in A Matter of Life and Death, Phileas Fogg in Around the World in 80 Days, and Sir Charles Lytton (""the Phantom"") in The Pink Panther. He won the Academy Award for Best Actor for his performance in Separate Tables (1958). He also played James Bond in Casino Royale (1967)."
Kim Hunter,"Kim Hunter (born Janet Cole; November 12, 1922 – September 11, 2002) was an American film, theatre, and television actress. She won both an Academy Award and a Golden Globe Award, each as Best Supporting Actress, for her performance as Stella Kowalski in the 1951 film A Streetcar Named Desire. Decades later, she was nominated for a Daytime Emmy Award for her work on the soap opera The Edge of Night. She also portrayed the character of chimpanzee Zira in the first three installments of the original film adaptation Planet of the Apes."
Robert Coote,"Robert Coote (4 February 1909 – 26 November 1982) was an English actor. He played aristocrats or British military types in many films, and created the role of Colonel Hugh Pickering in the long-running original Broadway production of My Fair Lady."
Judd Nelson,"Judd Asher Nelson (born November 28, 1959) is an American actor best known for his roles as John Bender in The Breakfast Club, Alec Newbury in St. Elmo's Fire, Joe Hunt in Billionaire Boys Club, Nick Peretti in New Jack City, Billy Beretti in Empire, and Jack Richmond in the television series Suddenly Susan."
Brian Krause,"Brian Jeffrey Krause (born February 1, 1969) is an American actor. He is known for his role as Leo Wyatt on The WB television series Charmed (1998–2006) and for portraying the lead role of Charles Brady in the 1992 horror film Sleepwalkers."
