Sea Hunt,"Mike Nelson is a S.C.U.B.A. diver in the days when it was still very new. He works alone, and the plot was mostly carried through his voice-over narrations. These gave the show a flavor of ..."
Iron Chef America: The Series,An Americanized version of the original Japanese TV series having to do with culinary competition set in a TV studio where one chef competes against others for an opportunity to eventually ...
Bleak House,"The great case of Jarndyce and Jarndyce drags on, an obsession to all involved. Then a question of inheritance becomes a question of murder."
Fraidy Cat,"Tom hears a ghost story on the radio and is spooked by it; Jerry notices this and takes advantage of it, using a variety of tricks to scare Tom."
Reckless,"Young doctor Owen Springer returns to Manchester to care for his ailing father and proceeds to fall in love with an older woman, who just happens to be married to his boss."
One Too Many,"When his uncle arrives for a visit, Plump has to find a wife and baby in a hurry. With the help of his friend, Runt, soon there are wives and babies everywhere."
North Shore,"Intrigue abounds at the Grand Waimea Hotel, an exclusive Hawaiian escape for the wealthy, powerful and beautiful. Hawaiian-born Jason Matthews runs the hotel as the assistant manager and ..."
War Babies,"A group of soldiers in a café watch a dancer as she entertains them, but later two of them become rivals over her."
Creature Comforts,U.S. version of the popular animated U.K series about animals who talk about various aspects of everyday life.
The Nightmare Man,A lonely Scottish island is stalked by a brutal killer who may be from another world...
King Solomon's Mines,"An adventurous quest for a treasure hidden in King Solomon's mines, based on H. Rider Haggard's timeless tale."
Hitler: The Rise of Evil,"A unique slant, profiling the life of Adolf Hitler as a child and his rise through the ranks of the National Socialist German Workers' Party prior to World War II."
Amazing Stories,"Truly amazing, fantastical, funny, and odd, and sometimes scary, sad, and endearing stories are portrayed. Many famous actors, actresses, and directors made guest appearances."
Twenty Minutes of Love,"Charlie is hanging around in the park, finding problems with a jealous suitor, a man who thinks that Charlie has robbed him a watch, a policeman and even a little boy, all because our friend can't stop snooping."
Chavez: Inside the Coup,"In April 2002, an Irish film crew is making a documentary about Venezuelan President Hugo Chavez, when a coup from the opposition is made."
The Dick Francis Thriller: The Racing Game,The cases of a disabled jockey turned private detective specializing in investigations involving horse racing.
DumbLand,"A series of 5-minute line animations (drawn in the rough style and with the minimalist plots of David Lynch's The Angriest Dog in the World comic strip) featuring an angry and violent Neanderthal, and his family and neighbors."
Kerching!,Children's comedy drama series about the adventures of teenage wheeler-dealer Taj Lewis.
The Story of Menstruation,"A basic explanation of the purpose and process of menstruation, told largely with diagrams (and completely avoiding the subject of sex)."
Freddy's Nightmares,"Freddy, the dream serial killer, hosts this anthology of stories set in Springwood."
The Bill,Uniform officers and detectives from an inner London police station enforce law and order on a day to day basis.
Five Days,A five-part mini-series that revolves around the disappearance of a young mother in a quiet British suburb and the circumstances that leave her children abandoned far from home.
Shaggy & Scooby-Doo Get a Clue!,"Adventures of Mystery, Inc. members Shaggy and Scooby-Doo as they solve various crimes around the world with the help of inherited cash and inventions from Shaggy's missing uncle."
Quo Vadis?,Drama about love and intrigues in ancient Rome during the times of Nero.
Airwolf,"As part of a deal with an intelligence agency to look for his missing brother, a renegade pilot goes on missions with an advanced battle helicopter."
Show Me the Money,Add a Plot »
In Cold Blood,"Based on Truman Capote's true-crime classic and nominated for two Primetime Emmys, ""In Cold Blood"" follows a pair of ex-cons (Anthony Edwards and Eric Roberts) who brutally murdered a respected Midwestern rancher and his family."
Caprica,"Two families, the Graystones and the Adamas, live together on a peaceful planet known as Caprica, where a startling breakthrough in artificial intelligence brings about unforeseen consequences."
Siskel & Ebert & the Movies,"Chicago critics Gene Siskel and Roger Ebert rate new movies with a thumbs up, or a thumbs down."
Carlos Mencia: No Strings Attached,"Meet Carlos Mencia. He has quite a few opinions... on just about everything. In this extended and uncensored comedy performance, Carlos' take on race relations, immigration, religion, and the..."
The New Batman Adventures,"The further and darker adventures of Batman with a new Robin, a closer association with Batgirl and the previous Robin now as Nightwing."
The 700 Club,"Television talk show dedicated to bringing uplifting stories, exciting guests, breaking news, and much more from a Christian perspective."
Nekojiru-sô,A young anthropomorphic cat goes on a psychedelic journey with his sister in order to save her soul.
Good Times,A poor family make the best of things in the Chicago housing projects.
Reunion,Six friends come together for their 20th high school reunion in which one of them is murdered and all of them become suspects. A detective traces their turbulent and secretive lives back spanning 20 years to find which one had the motive.
The Mind's Eye,A compilation of early computer animation experiments.
God's Country,"Original footage of the prosperous farming community of Glencoe Minnesota, 60 miles west of Minneapolis, was filmed in 1979 for a PBS documentary. But for the next six years Malle was too ..."
Things to Come,"The story of a century: a decades-long second World War leaves plague and anarchy, then a rational state rebuilds civilization and attempts space travel."
The Quest,"5 college guys head to a resort in Cabo to do what college guys do during spring break in Mexico, filming it reality show style. Will the remaining virgin manage to lose his virginity before returning to the US?"
The '60s,"The events of the 1960s affect the lives of two families, one white and one black."
Jane Eyre,"A young governess falls in love with her mysterious employer, but a terrible secret puts their happiness at risk."
Paris Is Burning,"A chronicle of New York's drag scene in the 1980s, focusing on balls, voguing and the ambitions and dreams of those who gave the era its warmth and vitality."
The League of Gentlemen,"An interweaving narrative chronicling the antics of such diverse characters as: a transgender taxi driver, a family obsessed with hygiene and toads, a fiery reverend, a carnival owner who kidnaps women into marriage, and a xenophobic couple who run a local shop for local people."
Manufactured Landscapes,Photographer Edward Burtynsky travels the world observing changes in landscapes due to industrial work and manufacturing.
Listening to You: The Who at the Isle of Wight 1970,This is the film of The Who's appearance at the third (and final) Isle of Wight festival in 1970. This is regarded as the band's finest performance.
Guinea Pig: Ginî piggu - Akuma no jikken,A duo of guys capture and brutally torture a young girl to the point of piercing her retina.
The Jane Show,Add a Plot »
The Sarah Silverman Program.,"Sarah's immature, only thinks of herself and has no inhibition nor work. Her sister Laura pays her rent. She has a gay couple as neighbors. Laura's seeing cop Jay."
Grey Gardens,"An old mother and her middle-aged daughter, the aunt and cousin of Jacqueline Kennedy, live their eccentric lives in a filthy, decaying mansion in East Hampton."
The Sopranos,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling."
Last Comic Standing,The comics from season one face off against the comics from season two.
Star Trek: Hidden Frontier,"Continuing the ongoing missions of Starfleet after the journeys of Star Trek: The Next Generation, Star Trek: Deep Space Nine, and Star Trek: Voyager."
Kolchak: The Night Stalker,A newspaper reporter investigates strange supernatural occurrences in Chicago.
"Guns, Germs, and Steel",A PBS documentary concerning Jared Diamond's theory on why there is such disparity between those who have advanced technology and those who still live primitively. He argues it is due to ...
Rock Star: INXS,Reality competition show looking for a new lead singer for the rock group INXS
Boy Meets Boy,Add a Plot »
Full House,A widowed broadcaster raises his three daughters with assistance from his rock'n'roll brother-in-law and his madcap best friend.
Night of the Living Bread,An explosion at a bakery causes bread to come to murderous life and attack people. A handful of desperate folks seek refuge in a secluded farmhouse. Will any of them survive the night of the living bread?
Barenaked in America,"A rockumentary about the Canadian rock band Barenaked Ladies's life, in a nutshell."
True Blood,"Telepathic waitress Sookie Stackhouse (Anna Paquin) encounters a strange new supernatural world when she meets the mysterious Bill Compton (Stephen Moyer), a southern Louisiana gentleman and vampire."
The Shield,Follows the lives and cases of a dirty Los Angeles Police Department cop and the unit under his command.
Gloria,"This spin-off of ""All in the Family"" features the further adventures of Gloria Stivic and her son Joey. She and Mike are separated and she's gotten a job in a veterinarian's office."
The Six Wives of Henry VIII,"A six-episode dramatization of Henry VIII's relationships with each of his six wives. Each episode is devoted to one wife, and is a complete play in itself."
Photon,Bhodi Li earth's world champion at Photon is selected to join an elite team of Photon Warriars. The Guardians of the Light of Photon work to keep the evil warlord of Arr from taking over the universe.
Twin Peaks,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.
Cheap Seats: Without Ron Parker,Randy and Jason play fictitious ESPN research assistants who end up hosting comedy as they comment on the game action and announcers.
Nu ji zhong ying,A nurse in a Japanese women's POW camp during World War II masterminds an escapee.
The Class,A 27-year-old is reunited with his childhood friends.
Joe Millionaire,A 28-year old heavy equipment operator courts twenty prospective mates under the guise that he has inherited nearly $50 million.
Lara Croft Tomb Raider: Legend,"Lara goes in search of an artifact, but instead, is thrown into the search of another artifact and she is pitted against a rival Tomb Raider and someone she thought was long dead."
Dane Cook,Rock n' roll junkie Dane Cook confesses his twisted desires and lets it all hang out in this no-holds barred half-hour special.
Piece of Cake,Stories of the men of the RAF Hornet Squadron during the early days of World War II.
Swiss Family Robinson,"Karl Robinson, his wife, two sons and an orphaned girl wash up on a volcanic island after a shipwreck. Also on the island is Jeremiah Worth, who was marooned there seven years earlier."
World Wide Wrestling,"This nationally syndicated pro wrestling series ran from 1975 to 2001. Launched by producer Jim Crockett Jr., the show was initially shot at the studios of WRAL-TV in Raleigh, North ..."
Sesame Street,"On a special inner city street, the inhabitants, human and muppet, teach preschool subjects with comedy, cartoons, games, and songs."
Sorry!,A 41 year old man is unable to leave home because of his domineering mother.
Men in Black: The Series 2,Add a Plot »
Armed & Famous,"Celebrities travel to Muncie, Indiana, where they become real-life reserve police officers. Each one goes through the same training that cops get, and each is joined by a veteran of the ..."
Bad Girls Do Cry,"A naive young girl goes to a model agency, where she is molested, shot up with drugs and forced to become a prostitute."
Bangville Police,"At a farm near Bangville, the young daughter see strangers in the barn. She quickly rushes to the house and calls the police. The police engage in a haphazard rush across the countryside to get there in time."
Feet of Flames,"Feet of Flames grew out of Michael Flatley's Lord of the Dance, which itself sprung from the original dance concert Riverdance in which Michael was a performer. Each new incarnation was an ..."
Big Bite,"Sketch comedy series featuring impersonations, parodies, and miscellaneous sketches."
The Great Train Robbery,"A group of bandits stage a brazen train hold-up, only to find a determined posse hot on their heels."
Big Rig,"A portrait of contemporary American life, as seen through the eyes of long-haul truck drivers."
Johnny Test,"The adventures of average suburban boy Johnny Test, who wittingly plays test subject for his genius twin sisters' various experiments, reluctantly fighting evil villains in the process."
Yugoslavia: The Avoidable War,A clear and critical look at Western intervention in the Balkans leading to the civil wars in Yugoslavia during the 1990s.
Foster's Home for Imaginary Friends,A boy and his beloved imaginary friend are able to stay together at an orphanage of sorts for imaginary friends that children have outgrown to be adopted by new children.
Early Edition,"His name is Gary Hobson. He gets tomorrow's newspaper today. He doesn't know how. He doesn't know why. All he knows is when the early edition hits his doorstep, he has twenty-four hours to set things right."
My Fair Brady,"Adrianne Curry, winner of America's Next Top Model, demands that her lover, former Brady Bunch-er Christopher Knight, marry her or else she's moving out."
Tran Scan,"Like Baraka and Koyaanisqatsi. ""A swift, elegant, and mysterious time-lapse drive across Canada during which the point of view magically remains constant to the horizon."" - Northwest Film/Video Festival."
MADtv,A sketch comedy show based on the seminal Mad Magazine.
Teamo Supremo,"The show tells of three superhero children: Captain Crandall (Spencer Breslin), Skate Lad (Alanna Ubach), and Rope Girl (Alanna Ubach). These three protect their state from all sorts of supervillains."
Cavemen,A trio of Neanderthals struggle to live in modern day America.
The Batman,Billionaire Bruce Wayne fights crime and evil as the mysterious Batman.
Britney & Kevin: Chaotic,"Britney Spears and Kevin Federline will share their love story through never-before-seen home videos they shot themselves during their courtship, engagement and wedding."
Jet Li Is 'The One',"well basically jet li becomes a dimensional time traveler and has to go to all of the other dimensions fighting the other jet li's, until there is ""one"", and he becomes more powerful each one he beats"
Friends,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.
Space Race,"The BBC's Space Race is a documentary/drama chronicling the major events and characters in the American/Soviet space race, leading up to the first moon landing. The series concentrates on ..."
Shin Seiki Evangelion,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.
Extreme Makeover: Home Edition,A family that has faced hardship has their dilapidated house completely rebuilt while they are away on vacation for a week.
Gentlemen of Nerve,"Mabel and her beau go to an auto race and are joined by Charlie and his friend. As Charlie's friend is attempting to enter the raceway through a hole, the friend gets stuck and a policeman ..."
Sing Faster: The Stagehands' Ring Cycle,"With its four operas, seventeen-hour running time and months of rehearsal, Wagner's ""Ring Cycle"" is a daunting undertaking for any opera company. Jon Else goes backstage to show this rare ..."
Weeds,"When a suburban mother turns to dealing marijuana in order to maintain her privileged lifestyle after her husband dies, she finds out just how addicted her entire neighborhood already is."
Mama Flora's Family,Mama Flora reflects on her life while trying to help her grand-daughter get her life right and be a better mother for her son. All while bringing the family she has left back together. Movies takes place from the 1910s to the 1970s.
Sound and Fury,"If you could make your deaf child hear, would you? Academy Award-nominated Sound and Fury follows the intimate, heart-rending tale of the Artinians, an extended family with deaf and hearing..."
Private Practice,"A spin-off of the medical drama ""Grey's Anatomy"" centering on the life of neonatal surgeon Addison Montgomery."
Anne of Green Gables: The Sequel,Anne Shirley accepts a teaching position at a girls boarding school in a town dominated by a rich and belligerant family determined to make her life miserable.
Arena: An Absurd Notion,"Call my name, and I'll be there. Dr. Duran Duran escapes the punishment of the Matmos at the height of British pop group Duran Duran's 1980s popularity. Mistaking the cries of teenage girls..."
Arthur,"Based on the books by Marc Brown, these are the adventures of Arthur, an 8-year-old aardvark, and his family and friends as they grow up and learn how to be good neighbors to one another."
Mouse in Manhattan,"Jerry Mouse gets tired of living the country life and decides to head to the big city. However, the experience doesn't turn out quite like Jerry had expected."
Revolt of the Zombies,An international expedition is sent into Cambodia to destroy an ancient formula that turns men into zombies.
Survivor,A reality show where a group of contestants are stranded in a remote location with little more than the clothes on their back. The lone survivor of this contest takes home a million dollars.
The '60s,"The events of the 1960s affect the lives of two families, one white and one black."
Boston Legal,"Boston Legal is a spin-off of the long-running David E. Kelley series The Practice (1997), following the exploits of former Practice character Alan Shore (James Spader) at the legal firm of Crane, Poole, and Schmidt."
Jesus of Nazareth,"Beginning before the Nativity and extending through the Crucifixion and Resurrection, this mini-series brings to life all of the sweeping drama in the life of Jesus, as told by the Gospels."
Balance,A group of fishermen on a precariously balanced platform fight over a trunk.
Robotech,An alien spaceship crash lands on Earth and the technology and secrets she bears lead Earth into three destructive interplanetary wars.
3 lbs.,An arrogant neurosurgeon takes on a new partner.
Survivor Series,"10 Man Elimination Tag Team Match: The Rock, Chris Jericho, Kane, The Big Show & The Undertaker vs. Steve Austin, Kurt Angle, Rob Van Dam, Booker T. & Shane McMahon, WWF Intercontinental/..."
War and Peace,The story of five aristocratic families in Russia during the Napoleonic Wars of 1812
In the Border States,"During the Civil War, a father living in a border state leaves to join the Union Army. After he leaves, Confederate troops forage on his property, where a soldier encounters one of his ..."
Survivor,A reality show where a group of contestants are stranded in a remote location with little more than the clothes on their back. The lone survivor of this contest takes home a million dollars.
Killer Instinct,San Francisco Detectives handle the City's most Bizarre Crimes
Turbo Teen,The adventures of a boy who can physically transform into a living car.
"Tramp, Tramp, Tramp","Low-life Harry falls in love with sweet Betty who inspires him to improve himself so he can marry her. He enters a $25,000 cross-country hiking contest. After many adventures he wins, pays ..."
The Home Front,A homesick Pvt. Snafu learns that his family are almost as commited to the war efforts as himself.
Yu-Gi-Oh!,"Yugi Moto solves an Ancient Egyptian Puzzle and brings forth a dark and powerful alter ego. Whenever he and his friends are threatened by evil in Duel Monster Card Game, this alter ego breaks out to save them."
Four Kings,"Barry (Green), Ben (Cooke), Jason (Grinnell), and Bobby (McRae) are lifelong friends who affectionately refer to themselves as the ""Four Kings of New York. The guys find their bonds to one another tested when they all move into the apartment that Ben inherited from his grandmother."
"Fast, Cheap & Out of Control","An exploration of the careers of four unrelated professionals: a lion tamer, a robotics expert, a topiary gardener, and a naked mole rat specialist."
This Divided State,"The film follows Micheal Moore's controversial decision to speak at the Utah Valley State College, where a heated debate between protestors and supporters argue Moore's First Amendment freedom of speech rights."
Canyon Dreams,Several different videos showing the scenic beauty of the Grand Canyon set to music by Tangerine Dream.
Ricki Lake,"Yet another daytime television talk show, specializing in sensationalistic topics, with invited guests and a studio audience."
Chronopolis,Weary immortals inhabit a metropolis in the sky and amuse themselves with constructions as they kill time and await whatever comes next.
Frigid Hare,Bugs rescues a penguin from an Inuit hunter at the South Pole and becomes obligated to it beyond his wildest dreams.
Married to Order,Add a Plot »
Mistral's Daughter,"Beautiful and naïve Maggy Lunel (Stefanie Powers) arrives in Paris completely broke. She becomes an artist's model and the toast of Paris, attracting the attention of Picasso-like painter ..."
The Fairly OddParents,"After being tortured and humiliated by his babysitter, a ten year old boy is put under the care of two fairy godparents, who can grant him almost any wish, which leads to dire consequences."
"Algie, the Miner",Algie Allmore has one year to prove he's a man in order to wed Harry Lyons' daughter.
Living with Ed,"Ed Begly Jr is an eco living enthusiast. One might even say a competitive one! However, what's it like living with someone who will only use the most eco friendly solutions or improvements ..."
The Brothers,"Pete and Lanny want to become stars in the ""Gangster Rap"" music world. Because they're white kids who have been raised in suburbia, they know nothing about the ghetto which fuels gangster ..."
Dog 1,A free-spirited woman enthusiastically engages in torrid interspecies sex with a delighted dog.
Leonard Nimoy Demonstrates the Magnavision Videodisc Player,Add a Plot »
Special Unit 2,Detectives Kate Benson and Nick O'Malley from a secret Chicago P.D. unit solve violent crimes committed by mythological creatures aka 'Links' while trying to hide the Links existence from the general public.
The Last Train,A group of commuter train passagers are put in accidental suspended animation and emerge years later into a devastated world.
Battlestar Galactica,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth."
Romeo!,"Romeo finds out what it means to be a good friend, even if it means breaking the law."
Mysteries of Love,A documentary about Blue Velvet (1986).
Transformers,Two opposing factions of transforming alien robots engage in a battle that has the fate of Earth in the balance.
Chronos,Carefully picked scenes of nature and civilization are viewed at high speed using time-lapse cinematography in an effort to demonstrate the history of various regions.
Waking the Dead,Detective Superintendent Peter Boyd is the leader of a Police team which investigates unsolved murders using modern technology.
Buffalo Bill,"Bill Bittinger is the egotistical host of a local daytime talk show on WBFL in Buffalo, NY., unhappy at being a big fish in a small pond (but unable to break into the big leagues). Bill ..."
Mussolini and I,"A compelling drama and documentary chronicling the life and death of Il Duce (Bob Hoskins), from his days as a terrorist, to his alliance with Hitler, to the betrayal of his son-in-law, and untimely demise."
The Closer,"Deputy Police Chief Brenda Johnson runs the Priority Homicide Division of the LAPD with an unorthodox style. Her innate ability to read people and obtain confessions helps her and her team solve the city's toughest, most sensitive cases."
Nuremberg,The dramatized account of the war crime trials following the defeat of Nazi Germany in World War II.
"Sabrina, the Animated Series",Short lived animated spin off of the television series Sabrina the Teenage Witch. The animated series is a prequel which features Sabrina as a pre-teen girl with small witch powers. Also ...
Son of the Dragon,"The 'Arabian Nights' tale ""The Thief of Bagdad"" retold and relocated to ancient China."
A kaito,"She may be cute. She may be young. She may seem innocent and naive, but don't be fooled. She's a cold-blooded killer, and if you're on the wrong side of the law, you may be her next target...."
The Winds of War,The trials of the Henry and Jastrow families in the early years of World War II.
Nightmares & Dreamscapes: From the Stories of Stephen King,"A television mini-series adaptation of Nightmares and Dreamscapes, Stephen King's collection of short horror stories."
The Oprah Winfrey Show,Oprah Winfrey hosts a live audience talk-show with celebrity guests and discusses daily stories.
O Canada!,This Disney Circle-Vision 360-degree film shown at Walt Disney World's EPCOT Center showcases the breathtaking scenery and other visual delights of Canada. Highlights along the ...
The Bachelor,"A single bachelor dates multiple women over several weeks, narrowing them down to hopefully find his true love."
The All-New Popeye Hour,The new adventures of Popeye the Sailor Man and his friends.
Powerhouse,The crime-fighting adventures of five members of an inner-city community center.
Entertainment Tonight,"""Entertainment Tonight"" is the #1 syndicated entertainment newsmagazine in the world."
Zona rosa,"""Zona Rosa"" is a documentary about the strippers who work in the gay clubs in Mexico City's famous district, the Zona Rosa. Christian Miranda gives us a tour though his professional and ..."
The San Pedro Beach Bums,"Five friends since high school decide to share a houseboat in beautiful southern California. Charming Buddy is their leader, Boychick the ladies man. Stuf believes big is beautiful, Dancer is a fidgety type and kind Moose lifts weights."
Veronica Mars,"After her best friend is murdered, and her father is removed as county Sheriff, Veronica Mars dedicates her life to cracking the toughest mysteries in the affluent town of Neptune."
Hamish Macbeth,"Hamish Macbeth is a police constable in the small Scottish town of Lochdubh, who occasionally bends the rules when it suits him or when it can help some of his fellow eccentric townsfolk."
39 Pounds of Love,"This is the story of Ami, a man who while unable to move any part of his body, still manages to move each and every one of us, as he teaches us a part of life's intimate dance."
Vishwatma,"A cop and a criminal, both on their respective missions of duty and revenge, go from India to Kenya in order to extradite a reclusive crime lord to India."
Lil' Bush: Resident of the United States,An animated look at U.S. President Bush and his cohorts as elementary school kids.
Greatest Heroes of the Bible,Anthology of famous events of the Old Testament.
Knots Landing,"The residents of Knots Landing, a coastal suburb of Los Angeles, deal with various issues such as infidelity, health scares, rape, murder, kidnapping, assassinations, drug smuggling, corporate intrigue and criminal investigations."
Directors Commentary,"Spoof comedy show in which Rob Brydon plays Peter De Lane, a director of TV shows on both sides of the Atlantic. He shares behind-the-scenes tales and anecdotes in a special director's commentary as you see on DVD's"
Lancer,"Western in the similar to "" The Big Valley, Bonanza, The High Chaparral "" about the Lancer family and its ranch."
Good Day L.A.,Add a Plot »
A Very British Coup,"Harry Perkins, steel worker and trade unionist from Sheffield, becomes Prime Minister of the UK by a landslide, partly because of corruption and public disillusionment with the Conservative..."
For Ever Mozart,"Jean-Luc Godard's densely packed rumination on the need to create order and beauty in a world ruled by chaos is divided into four distinct but tangentially related stories, including the ..."
Danjeogbiyeonsu,"Long ago , somewhere in the lone Mongolian plain competed two tribes for dominance : the ' Volcanoes ' and the ' Hawks' . The leader of the 'Hawks ' manages to seduce the captain of the ' ..."
Signal 30,The results of serious traffic accidents caused by careless driving are displayed.
M*A*S*H,The staff of an Army hospital in the Korean War find that laughter is the best way to deal with their situation.
Moonlighting,The quirky cases of a former model and a smart aleck detective who manage a private detective agency.
Randall & Hopkirk (Deceased),"Randall and Hopkirk are detective partners with a difference, one of them is a ghost."
The Bank,"Charlie does everything but an efficient job as janitor. Edna buys her fiance, the cashier, a birthday present. Charlie thinks ""To Charles with Love"" is for him. He presents her a rose ..."
Hardgore,"A nymphomaniac goes to a sanitarium in hopes of being cured; it turns out the sanitarium is a front for a Satanic cult luring young women into a web of madness, torture, and sex... But mostly just sex."
Spider-Man,A young man with spider-like abilities fights crime as a superhero in New York City while trying to have a normal personal life.
Frank and Cindy,"Frank & Cindy is a deeply personal documentary about Frank Garcia, an 80's one-hit wonder musician, and his blonde bombshell wife Cindy, who makes him live in the basement."
Me & Isaac Newton,Seven of today's top scientist/researchers are the subject of this humourous exploration of real people behind the white lab coats; more about what makes the tick than what they have per-se...
Marvel vs. Capcom 2: New Age of Heroes,"A pirate-woman named Ruby-Heart who united fifty-two of the Earth's strongest heroes and villains, transports them to another dimension on her enormous battleship to fight an evil shape-shifter named Abyss who wants to rule all realities."
Cold Case,"The Philadelphia homicide squad's lone female detective finds her calling when she's assigned ""cold cases"", older crimes that have never been solved."
To Die in Jerusalem,"Ever since 17-year-old Rachel Levy, an Israeli, was killed four years ago in Jerusalem by a Palestinian suicide bomber, her mother Abigail has found hardly a moment's peace. Levy's killer ..."
Herushingu,"A British taskforce, lead by the daughter of the vampire hunter Prof. Van Helsing, battles the supernatural with the aid of two vampires."
Mighty Morphin Power Rangers,"A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters."
Cleopatra,"Princess Cleopatra becomes Egypt's Queen and has an out-of-wedlock son with the son-less Roman ruler Julius Ceasar. Through two romances, she strives to protect Egypt from the Romans, and make her son the heir to Ceaser's Roman Empire."
Fifty Percent Grey,"Sergeant wakes up alone with only a widescreen TV for company, in a place designed for him to relax in peace and tranquility, for all eternity..."
Joe Strummer: The Future Is Unwritten,"As the front man of the Clash from 1977, Joe Strummer changed people's lives forever. Four years after his death, his influence reaches out around the world, more strongly now than ever before."
Dough for the Do-Do,"Porky ventures into Darkest Africa in search of the last Do-Do bird, and winds up in Wackyland, a surreal place where the sun comes up atop a human pyramid, the Warner Brothers shield comes..."
Peter & the Wolf,"An animated retelling set to Prokofiev's suite. Peter is a slight lad, solitary, locked out of the woods by his protective grandfather, his only friend a duck. In town, he's bullied. When a..."
Why Don't You Just Switch Off Your Television Set and Go and Do Something Less Boring Instead?,Add a Plot »
Justice,"A powerful Los Angeles law firm handles high-profile, media-circus cases."
Forgiving Dr. Mengele,"Eva Mozes Kor, who survived Josef Mengele's cruel twin experiments in the Auschwitz concentration camp, shocks other Holocaust survivors when she decides to forgive the perpetrators as a way of self-healing."
Traffic in Souls,"A woman, with the aid of her police officer sweetheart, endeavors to uncover the prostitution ring that has kidnapped her sister, and the philanthropist who secretly runs it."
Hei tai yang: Nan Jing da tu sha,"In 1937, Japanese troops raid the Chinese city of Nanking to execute a planned massacre by subjecting over 300,000 helpless civilians to various tortures and atrocities before slaughtering them all."
Numb3rs,"Working for the F.B.I., a mathematician uses equations to help solve various crimes."
Bridget Loves Bernie,The daily struggles of two newlyweds: rich Catholic Bridget and Jewish cabbie Bernie.
